Date,year,Quarter,Month,Product_id,Product_name,Category,Region,Sales_units,Sales_amount,Revenue,Cost,Expenses,Profit,Profit_margin,Customer_count,New_customers,Repeat_customer,Ave_order_value,Discount_Amount,profit,profit_margin
2023-10-20,2023,Q4,Oct,P1004,Headphones,Accessories,West,655,1381395,1387978,881630.4,125039.0,381308.6,27.47,2928,748,2180,474.04,6418,381308.6,27.472236591646265
2023-01-31,2023,Q1,Jan,P1005,Smartwatch,Accessories,North,115,198145,210100,140343.7,26984.45,42771.83,20.36,1326,453,873,158.45,5159,42771.84999999999,20.357853403141355
2024-01-22,2024,Q1,Jan,P1001,Mobile,Electronics,South,502,727900,740864,525566.7,105821.8,109475.6,14.78,1369,701,668,541.17,5340,109475.50000000004,14.776733651520393
2020-01-26,2020,Q1,Jan,P1005,Smartwatch,Accessories,North,623,734517,749502,518989.7,140614.6,89897.74,11.99,1325,414,911,565.66,1548,89897.69999999998,11.994324231289575
2024-05-27,2024,Q2,May,P1002,Laptop,Electronics,West,259,357679,376938,236734.3,68114.72,72088.95,19.12,1460,868,592,258.18,2165,72088.98000000001,19.124890565557205
2024-02-14,2024,Q1,Feb,P1004,Headphones,Accessories,East,442,407082,422925,251239.9,57825.63,113859.5,26.92,2722,768,1954,155.37,4789,113859.47,26.92190577525566
2023-04-30,2023,Q2,Apr,P1005,Smartwatch,Accessories,North,349,602723,616755,401347.8,69642.04,145765.1,23.63,1936,581,1355,318.57,3587,145765.16000000003,23.63420807289767
2024-03-01,2024,Q1,Mar,P1004,Headphones,Accessories,South,500,873500,893657,561850.5,164306.5,167499.9,18.74,2908,1136,1772,307.31,3335,167500.0,18.743209083574573
2020-11-02,2020,Q4,Nov,P1005,Smartwatch,Accessories,North,209,194161,200491,127989.4,40405.85,32095.73,16.01,1912,827,1085,104.86,2254,32095.750000000007,16.00857395095042
2022-11-10,2022,Q4,Nov,P1005,Smartwatch,Accessories,South,389,539154,548508,389248.1,47002.65,112257.2,20.47,1612,620,992,340.27,5396,112257.25000000003,20.465927570792044
2023-07-07,2023,Q3,Jul,P1002,Laptop,Electronics,West,701,1530984,1549795,1021211.0,231605.1,296979.2,19.16,2423,1007,1416,639.62,1994,296978.9,19.162463422581695
2022-09-10,2022,Q3,Sep,P1002,Laptop,Electronics,North,116,212512,230535,144945.0,20234.04,65355.96,28.35,1061,567,494,217.28,1150,65355.96,28.34969093630034
2023-01-31,2023,Q1,Jan,P1004,Headphones,Accessories,South,328,501512,512383,320740.8,98239.91,93402.33,18.23,1802,813,989,284.34,2393,93402.29000000001,18.228998620172803
2020-11-26,2020,Q4,Nov,P1003,Tablet,Electronics,West,223,251990,256255,163706.1,37991.69,54557.24,21.29,2199,679,1520,116.53,6652,54557.20999999999,21.29020311798794
